id,externalid,firstname,lastname,email,title,lastmodifieddate,isinactive,department,supervisor,DELETE_RandomColumn,DELETE_SupervisorRow,DELETE_RandYear
5680,52171,Iliana,Becker,Iliana.Becker@businessdatastack.com,Sr. Analyst,2022-04-27,F,30,325,3,44,2022
325,28969,Bentley,Bradshaw,Bentley.Bradshaw@businessdatastack.com,Manager,2020-06-20,F,33,8856,4,45,2020
8856,44366,Laney,Herrera,Laney.Herrera@businessdatastack.com,Sr. Manager,2022-01-22,F,28,6234,5,46,2022
6234,242,Arjun,Estrada,Arjun.Estrada@businessdatastack.com,Director,2021-02-16,F,33,1669,6,53,2021
1099,72596,Miah,Pierce,Miah.Pierce@businessdatastack.com,Sr. Analyst,2022-04-26,F,33,8471,3,50,2022
4735,83039,Michael,Knapp,Michael.Knapp@businessdatastack.com,Analyst,2020-02-10,F,16,7301,2,51,2020
2562,74037,Abraham,Summers,Abraham.Summers@businessdatastack.com,Director,2020-05-23,F,21,1669,6,53,2020
8471,63518,Isaias,Mercer,Isaias.Mercer@businessdatastack.com,Manager,2021-02-07,F,35,4024,4,52,2021
7301,34737,Sam,Jefferson,Sam.Jefferson@businessdatastack.com,Sr. Analyst,2020-08-24,F,37,9959,3,75,2020
4024,21934,Mylee,Daniel,Mylee.Daniel@businessdatastack.com,Sr. Manager,2022-02-14,F,27,6056,5,54,2022
1669,32259,Gregory,Sheppard,Gregory.Sheppard@businessdatastack.com,Sr. Director,2022-05-12,F,32,,7,,2022
6056,42224,Jeremy,Morrison,Jeremy.Morrison@businessdatastack.com,Director,2022-02-23,T,29,8080,6,59,2022
6057,40111,Dillan,Vance,Dillan.Vance@businessdatastack.com,Sr. Manager,2020-07-16,T,36,1067,5,56,2020
1067,6410,Eleanor,Ashley,Eleanor.Ashley@businessdatastack.com,Director,2021-06-18,F,24,8080,6,59,2021
1649,41290,Kenya,Brown,Kenya.Brown@businessdatastack.com,Director,2020-02-28,F,26,8080,6,59,2020
4550,45597,Irene,Campos,Irene.Campos@businessdatastack.com,Sr. Analyst,2022-09-11,F,25,9959,3,75,2022
8080,48348,Mckayla,Wise,Mckayla.Wise@businessdatastack.com,Sr. Director,2022-08-23,F,36,,7,,2022
251,78713,Lorelai,Gaines,Lorelai.Gaines@businessdatastack.com,Sr. Director,2020-02-02,F,22,,7,,2020
3253,88436,Cody,Brock,Cody.Brock@businessdatastack.com,Director,2020-08-14,T,26,6020,6,64,2020
3691,37198,Nathen,Aguilar,Nathen.Aguilar@businessdatastack.com,Analyst,2020-01-16,F,34,5759,2,68,2020
1183,27325,Yahir,Dorsey,Yahir.Dorsey@businessdatastack.com,Analyst,2022-04-28,F,26,5759,2,68,2022
6020,13018,Justice,Hood,Justice.Hood@businessdatastack.com,Sr. Director,2021-12-08,F,16,,7,,2021
7049,53538,Shyanne,Greene,Shyanne.Greene@businessdatastack.com,Director,2021-06-02,F,28,872,6,73,2021
3578,63085,Jared,Summers,Jared.Summers@businessdatastack.com,Sr. Manager,2021-07-17,T,34,2476,5,67,2021
2476,83777,Leonard,Beltran,Leonard.Beltran@businessdatastack.com,Director,2021-07-19,F,25,872,6,73,2021
5759,68376,Molly,Rangel,Molly.Rangel@businessdatastack.com,Sr. Analyst,2021-05-05,F,23,9959,3,75,2021
9527,58499,Rolando,Meyers,Rolando.Meyers@businessdatastack.com,Director,2020-03-02,F,19,872,6,73,2020
5747,10966,Arturo,Gamble,Arturo.Gamble@businessdatastack.com,Sr. Manager,2021-12-09,F,20,9624,5,71,2021
9624,58295,Osvaldo,Barrera,Osvaldo.Barrera@businessdatastack.com,Director,2020-06-21,F,31,872,6,73,2020
7539,26327,Teresa,Keller,Teresa.Keller@businessdatastack.com,Sr. Analyst,2021-04-06,F,25,9959,3,75,2021
872,8432,Jewel,Powers,Jewel.Powers@businessdatastack.com,Sr. Director,2022-03-21,F,17,,7,,2022
4855,38404,Anastasia,Duke,Anastasia.Duke@businessdatastack.com,Sr. Director,2021-07-20,F,34,,7,,2021
9959,60648,Leia,Bray,Leia.Bray@businessdatastack.com,Manager,2021-09-07,F,22,1034,4,79,2021
3816,39228,Mattie,Carr,Mattie.Carr@businessdatastack.com,Director,2021-03-25,F,35,9026,6,84,2021
7361,25738,Jaden,Galvan,Jaden.Galvan@businessdatastack.com,Director,2022-09-10,F,36,9026,6,84,2022
8518,38429,Uriel,Cuevas,Uriel.Cuevas@businessdatastack.com,Manager,2021-05-05,F,28,1034,4,79,2021
1034,31517,Ariella,Edwards,Ariella.Edwards@businessdatastack.com,Sr. Manager,2020-02-05,F,20,9732,5,82,2020
6360,10860,Jovani,Schultz,Jovani.Schultz@businessdatastack.com,Manager,2021-08-14,F,27,2718,4,81,2021
2718,62164,Hana,Rowe,Hana.Rowe@businessdatastack.com,Sr. Manager,2022-03-21,F,23,9732,5,82,2022
9732,39480,Mitchell,Ramos,Mitchell.Ramos@businessdatastack.com,Director,2020-12-16,F,30,9026,6,84,2020
5741,89468,Zackary,Haney,Zackary.Haney@businessdatastack.com,Manager,2021-04-01,F,25,1310,4,86,2021
9026,99005,Sanai,Casey,Sanai.Casey@businessdatastack.com,Sr. Director,2021-07-25,F,18,,7,,2021
8132,34465,Kaylyn,Saunders,Kaylyn.Saunders@businessdatastack.com,Director,2020-07-09,F,37,8406,6,88,2020
1310,83377,Giselle,Knox,Giselle.Knox@businessdatastack.com,Sr. Manager,2022-01-17,F,22,5582,5,94,2022
7672,76732,Rigoberto,Shaffer,Rigoberto.Shaffer@businessdatastack.com,Sr. Analyst,2021-09-05,F,25,4283,3,91,2021
8406,48018,Zayden,Case,Zayden.Case@businessdatastack.com,Sr. Director,2021-10-14,F,20,,7,,2021
4492,72276,Gilbert,Young,Gilbert.Young@businessdatastack.com,Sr. Manager,2022-03-06,F,19,5582,5,94,2022
1693,97078,Amaris,White,Amaris.White@businessdatastack.com,Sr. Manager,2020-06-23,F,32,5582,5,94,2020
4283,62921,Reginald,Gray,Reginald.Gray@businessdatastack.com,Manager,2021-07-14,F,27,6399,4,95,2021
1562,20239,Jaxon,Salinas,Jaxon.Salinas@businessdatastack.com,Sr. Director,2022-09-03,F,36,,7,,2022
2999,88880,Maria,Manning,Maria.Manning@businessdatastack.com,Manager,2022-09-17,T,22,6399,4,95,2022
5582,71358,Kiersten,Cunningham,Kiersten.Cunningham@businessdatastack.com,Director,2021-10-28,F,25,5855,6,101,2021
6399,36154,Trevor,Yoder,Trevor.Yoder@businessdatastack.com,Sr. Manager,2022-03-24,T,30,1283,5,97,2022
5053,71116,Carter,Roth,Carter.Roth@businessdatastack.com,Sr. Analyst,2020-03-04,T,17,5251,3,98,2020
1283,90353,Sarahi,Daugherty,Sarahi.Daugherty@businessdatastack.com,Director,2020-07-27,F,30,5855,6,101,2020
5251,23876,Yosef,Riggs,Yosef.Riggs@businessdatastack.com,Manager,2021-01-24,T,22,7698,4,109,2021
9024,94564,Armani,Fuentes,Armani.Fuentes@businessdatastack.com,Analyst,2020-12-26,T,19,8024,2,100,2020
8024,94112,Mollie,Dougherty,Mollie.Dougherty@businessdatastack.com,Sr. Analyst,2020-09-16,F,21,2910,3,102,2020
5855,81854,Julio,Dawson,Julio.Dawson@businessdatastack.com,Sr. Director,2020-09-24,F,28,,7,,2020
2910,78272,Zayden,Sparks,Zayden.Sparks@businessdatastack.com,Manager,2020-11-06,F,33,7698,4,109,2020
9020,18846,Atticus,Rice,Atticus.Rice@businessdatastack.com,Manager,2022-07-22,T,23,7698,4,109,2022
436,51179,Elise,Blevins,Elise.Blevins@businessdatastack.com,Analyst,2022-02-15,T,23,6690,2,106,2022
2485,45597,Adrianna,Powell,Adrianna.Powell@businessdatastack.com,Director,2022-07-23,F,32,403,6,110,2022
6690,71935,Miriam,Howell,Miriam.Howell@businessdatastack.com,Sr. Analyst,2021-01-24,F,24,767,3,107,2021
767,60120,Karla,Coffey,Karla.Coffey@businessdatastack.com,Manager,2020-09-10,F,34,7698,4,109,2020
2143,47206,Sullivan,Wheeler,Sullivan.Wheeler@businessdatastack.com,Analyst,2020-11-16,F,25,6702,2,115,2020
7698,1522,Gauge,Forbes,Gauge.Forbes@businessdatastack.com,Sr. Manager,2022-01-25,F,17,1450,5,111,2022
403,50309,Alivia,Lucero,Alivia.Lucero@businessdatastack.com,Sr. Director,2020-03-16,T,26,,7,,2020
1450,9844,Carley,Hopkins,Carley.Hopkins@businessdatastack.com,Director,2020-09-28,F,23,3702,6,112,2020
3702,17302,Kimberly,Mathis,Kimberly.Mathis@businessdatastack.com,Sr. Director,2021-07-11,F,32,,7,,2021
2178,40020,Alfredo,Gallagher,Alfredo.Gallagher@businessdatastack.com,Director,2021-04-07,F,32,7229,6,116,2021
18,79931,Marely,Riley,Marely.Riley@businessdatastack.com,Analyst,2022-04-02,F,16,6702,2,115,2022
6702,15060,Paxton,Mayo,Paxton.Mayo@businessdatastack.com,Sr. Analyst,2022-04-01,F,30,2993,3,118,2022
7229,78974,Jadiel,Santiago,Jadiel.Santiago@businessdatastack.com,Sr. Director,2020-05-04,F,34,,7,,2020
6976,4347,Viviana,Morse,Viviana.Morse@businessdatastack.com,Sr. Analyst,2022-06-23,F,26,2993,3,118,2022
2993,36213,Ulises,Vang,Ulises.Vang@businessdatastack.com,Manager,2021-06-15,T,16,8635,4,124,2021
4563,78452,Marley,Keller,Marley.Keller@businessdatastack.com,Analyst,2020-11-09,T,33,4031,2,128,2020
2056,2696,Tiana,Chung,Tiana.Chung@businessdatastack.com,Director,2021-02-04,T,18,7549,6,123,2021
9123,15011,Krista,Barrera,Krista.Barrera@businessdatastack.com,Manager,2022-04-28,F,27,8635,4,124,2022
661,827,Lena,Odom,Lena.Odom@businessdatastack.com,Analyst,2022-04-09,F,34,4031,2,128,2022
7549,52402,Ibrahim,Donovan,Ibrahim.Donovan@businessdatastack.com,Sr. Director,2022-05-09,F,26,,7,,2022
8635,37103,Jeffery,Simon,Jeffery.Simon@businessdatastack.com,Sr. Manager,2021-01-06,F,25,4046,5,149,2021
7647,24956,Michael,Baxter,Michael.Baxter@businessdatastack.com,Sr. Manager,2021-05-11,T,21,4046,5,149,2021
465,87418,Jakobe,Andrews,Jakobe.Andrews@businessdatastack.com,Manager,2022-01-24,F,29,7479,4,127,2022
7479,2498,Rowan,Haney,Rowan.Haney@businessdatastack.com,Sr. Manager,2020-07-01,F,18,4046,5,149,2020
4031,31547,Maurice,Benjamin,Maurice.Benjamin@businessdatastack.com,Sr. Analyst,2020-02-12,F,30,3850,3,135,2020
1751,5994,Breanna,Hodge,Breanna.Hodge@businessdatastack.com,Sr. Director,2022-01-07,F,17,,7,,2022
5550,18686,Carolyn,Norman,Carolyn.Norman@businessdatastack.com,Sr. Director,2021-03-10,F,18,,7,,2021
1817,91332,Melina,Benjamin,Melina.Benjamin@businessdatastack.com,Analyst,2020-11-17,T,33,9184,2,136,2020
1900,84818,Mallory,Porter,Mallory.Porter@businessdatastack.com,Sr. Manager,2020-08-19,T,31,4046,5,149,2020
8173,35562,Frankie,Pittman,Frankie.Pittman@businessdatastack.com,Sr. Manager,2022-04-01,F,27,4046,5,149,2022
3693,93640,Arielle,Miller,Arielle.Miller@businessdatastack.com,Sr. Manager,2020-05-05,F,17,4046,5,149,2020
3850,79511,Jesus,Gomez,Jesus.Gomez@businessdatastack.com,Manager,2020-03-06,F,35,5532,4,144,2020
9184,85150,Mario,Flores,Mario.Flores@businessdatastack.com,Sr. Analyst,2022-02-05,F,22,3448,3,157,2022
9497,66624,Jaydin,Gates,Jaydin.Gates@businessdatastack.com,Sr. Analyst,2022-02-09,F,26,3448,3,157,2022
9599,20979,Caiden,Barr,Caiden.Barr@businessdatastack.com,Sr. Analyst,2021-07-07,F,36,3448,3,157,2021
7296,14681,Lorelai,Williamson,Lorelai.Williamson@businessdatastack.com,Sr. Analyst,2022-01-01,T,36,3448,3,157,2022
7009,11653,Shaun,Benson,Shaun.Benson@businessdatastack.com,Analyst,2020-01-23,F,37,7985,2,143,2020
2065,39171,Jacey,Figueroa,Jacey.Figueroa@businessdatastack.com,Analyst,2020-09-19,F,29,7985,2,143,2020
3086,85131,Prince,Walton,Prince.Walton@businessdatastack.com,Sr. Director,2020-12-05,F,25,,7,,2020
7985,88718,Aleena,Peters,Aleena.Peters@businessdatastack.com,Sr. Analyst,2021-11-27,T,26,3448,3,157,2021
5532,71644,Arnav,Chen,Arnav.Chen@businessdatastack.com,Sr. Manager,2020-12-11,F,36,4046,5,149,2020
4299,28854,Kingston,Valdez,Kingston.Valdez@businessdatastack.com,Analyst,2021-07-27,F,27,5377,2,147,2021
1643,21790,Bruno,Wheeler,Bruno.Wheeler@businessdatastack.com,Sr. Manager,2020-12-14,F,32,4046,5,149,2020
5377,11154,Cecelia,James,Cecelia.James@businessdatastack.com,Sr. Analyst,2022-08-11,T,20,3448,3,157,2022
9518,94371,Branden,Franco,Branden.Franco@businessdatastack.com,Sr. Director,2022-08-09,F,22,,7,,2022
4046,45553,Leia,Mason,Leia.Mason@businessdatastack.com,Director,2022-05-28,F,19,210,6,153,2022
9706,73386,Cash,Snyder,Cash.Snyder@businessdatastack.com,Analyst,2020-10-04,F,25,4136,2,155,2020
676,36990,Evelin,Holland,Evelin.Holland@businessdatastack.com,Sr. Manager,2022-04-27,F,16,4490,5,185,2022
7281,2330,Salvatore,Cuevas,Salvatore.Cuevas@businessdatastack.com,Analyst,2020-07-20,T,28,4136,2,155,2020
210,86830,John,Chapman,John.Chapman@businessdatastack.com,Sr. Director,2022-02-11,T,22,,7,,2022
7404,59352,Denisse,Sandoval,Denisse.Sandoval@businessdatastack.com,Sr. Manager,2022-03-26,F,21,4490,5,185,2022
4136,55211,Kayden,Mcfarland,Kayden.Mcfarland@businessdatastack.com,Sr. Analyst,2020-12-13,T,18,3448,3,157,2020
5413,90678,Felix,Patrick,Felix.Patrick@businessdatastack.com,Sr. Analyst,2021-12-27,F,35,3448,3,157,2021
3448,7456,Octavio,Ingram,Octavio.Ingram@businessdatastack.com,Manager,2022-02-05,F,27,1757,4,159,2022
5094,23650,Jesse,Herrera,Jesse.Herrera@businessdatastack.com,Sr. Analyst,2020-11-13,F,36,7073,3,162,2020
1757,45235,Jovanny,Deleon,Jovanny.Deleon@businessdatastack.com,Sr. Manager,2020-10-06,F,33,4490,5,185,2020
2993,13225,Miles,Chambers,Miles.Chambers@businessdatastack.com,Sr. Director,2020-04-23,F,29,,7,,2020
807,81664,Bernard,Garcia,Bernard.Garcia@businessdatastack.com,Analyst,2022-01-27,F,16,7671,2,172,2022
7073,45330,Ana,Cannon,Ana.Cannon@businessdatastack.com,Manager,2021-02-03,F,16,6244,4,164,2021
8020,73429,Clayton,Tapia,Clayton.Tapia@businessdatastack.com,Manager,2021-04-04,F,35,6244,4,164,2021
6244,63383,Dulce,Walters,Dulce.Walters@businessdatastack.com,Sr. Manager,2020-04-11,F,23,4490,5,185,2020
4036,62428,Casey,Manning,Casey.Manning@businessdatastack.com,Analyst,2020-12-09,F,31,7671,2,172,2020
6765,32353,Anastasia,Jacobson,Anastasia.Jacobson@businessdatastack.com,Analyst,2021-01-17,F,30,7671,2,172,2021
9465,55516,Maryjane,Bullock,Maryjane.Bullock@businessdatastack.com,Sr. Director,2020-07-14,F,20,,7,,2020
3354,60442,Raina,Dixon,Raina.Dixon@businessdatastack.com,Analyst,2020-05-24,F,23,7671,2,172,2020
423,99732,Lilianna,Armstrong,Lilianna.Armstrong@businessdatastack.com,Manager,2020-02-01,F,34,8862,4,170,2020
8862,71816,Dangelo,Garner,Dangelo.Garner@businessdatastack.com,Sr. Manager,2022-07-23,T,28,4490,5,185,2022
2334,20622,Brianna,Sullivan,Brianna.Sullivan@businessdatastack.com,Sr. Director,2022-01-12,F,29,,7,,2022
7671,88490,Ann,Walter,Ann.Walter@businessdatastack.com,Sr. Analyst,2020-12-06,F,36,9758,3,173,2020
9758,34144,Jayson,Olson,Jayson.Olson@businessdatastack.com,Manager,2022-04-28,F,34,1496,4,174,2022
1496,61445,Olivia,Lin,Olivia.Lin@businessdatastack.com,Sr. Manager,2020-03-06,T,37,4490,5,185,2020
9874,77651,Kason,Newton,Kason.Newton@businessdatastack.com,Sr. Analyst,2020-10-16,F,16,2590,3,178,2020
1010,54734,Talon,Thompson,Talon.Thompson@businessdatastack.com,Sr. Manager,2021-04-19,F,16,4490,5,185,2021
6889,46701,Rodolfo,Maddox,Rodolfo.Maddox@businessdatastack.com,Sr. Manager,2020-02-26,F,24,4490,5,185,2020
2590,91266,Jake,Lindsey,Jake.Lindsey@businessdatastack.com,Manager,2022-06-26,F,25,9125,4,182,2022
3447,50509,Devin,Stone,Devin.Stone@businessdatastack.com,Sr. Director,2020-08-17,F,16,,7,,2020
6962,10017,Brayden,Alvarado,Brayden.Alvarado@businessdatastack.com,Sr. Analyst,2020-08-21,F,37,9479,3,195,2020
6229,24981,Derrick,Leonard,Derrick.Leonard@businessdatastack.com,Sr. Director,2020-11-23,T,20,,7,,2020
9125,83079,Jocelynn,Stout,Jocelynn.Stout@businessdatastack.com,Sr. Manager,2022-07-06,T,23,4490,5,185,2022
9716,54122,Isabelle,Coffey,Isabelle.Coffey@businessdatastack.com,Sr. Manager,2020-09-13,T,19,4490,5,185,2020
7694,29734,Nathanial,Leon,Nathanial.Leon@businessdatastack.com,Sr. Analyst,2022-08-12,F,35,9479,3,195,2022
4490,71561,Zion,Huffman,Zion.Huffman@businessdatastack.com,Director,2020-12-26,F,18,2577,6,187,2020
8985,3227,Kristin,Schmidt,Kristin.Schmidt@businessdatastack.com,Director,2021-05-01,F,18,2577,6,187,2021
2577,52798,Darryl,Peck,Darryl.Peck@businessdatastack.com,Sr. Director,2021-03-26,F,18,,7,,2021
857,91213,Karen,Hull,Karen.Hull@businessdatastack.com,Sr. Manager,2021-08-22,F,16,4056,5,204,2021
5534,93892,Hannah,Horn,Hannah.Horn@businessdatastack.com,Sr. Analyst,2022-01-20,F,19,9479,3,195,2022
2796,13287,Ronald,Mathews,Ronald.Mathews@businessdatastack.com,Sr. Analyst,2021-02-06,F,19,9479,3,195,2021
9939,94958,Heaven,Bass,Heaven.Bass@businessdatastack.com,Sr. Director,2022-08-28,T,27,,7,,2022
3436,89205,Jameson,Fritz,Jameson.Fritz@businessdatastack.com,Sr. Director,2020-08-24,T,30,,7,,2020
4307,13178,Nikhil,Mata,Nikhil.Mata@businessdatastack.com,Sr. Manager,2020-11-22,T,18,4056,5,204,2020
9404,79766,Frankie,Chen,Frankie.Chen@businessdatastack.com,Sr. Director,2022-09-26,T,29,,7,,2022
9479,39265,Marcel,Woodward,Marcel.Woodward@businessdatastack.com,Manager,2021-02-15,F,31,5554,4,211,2021
7982,15495,Jasmin,Klein,Jasmin.Klein@businessdatastack.com,Sr. Analyst,2022-07-23,F,24,1012,3,205,2022
7074,23229,Bailee,Delgado,Bailee.Delgado@businessdatastack.com,Analyst,2022-03-01,F,34,450,2,202,2022
9380,6606,Linda,Mann,Linda.Mann@businessdatastack.com,Sr. Director,2021-06-11,T,22,,7,,2021
1609,82674,Guillermo,Calhoun,Guillermo.Calhoun@businessdatastack.com,Sr. Director,2021-07-21,F,17,,7,,2021
8391,96775,Isabell,Maddox,Isabell.Maddox@businessdatastack.com,Sr. Director,2022-02-26,F,20,,7,,2022
267,23271,Deangelo,Conley,Deangelo.Conley@businessdatastack.com,Sr. Director,2021-06-27,F,27,,7,,2021
450,10498,Carlos,Dickson,Carlos.Dickson@businessdatastack.com,Sr. Analyst,2020-09-04,F,33,1012,3,205,2020
5037,6862,Aracely,Clarke,Aracely.Clarke@businessdatastack.com,Sr. Director,2021-07-20,F,17,,7,,2021
4056,63007,Marquis,Phelps,Marquis.Phelps@businessdatastack.com,Director,2020-02-18,F,23,1083,6,207,2020
1012,40410,Saige,Chase,Saige.Chase@businessdatastack.com,Manager,2022-05-14,F,23,5554,4,211,2022
9808,40343,Damion,Stein,Damion.Stein@businessdatastack.com,Director,2021-03-27,F,16,1083,6,207,2021
1083,26129,Janelle,Rojas,Janelle.Rojas@businessdatastack.com,Sr. Director,2022-09-28,T,34,,7,,2022
5678,74994,Abagail,Khan,Abagail.Khan@businessdatastack.com,Sr. Director,2020-05-02,T,37,,7,,2020
9267,82402,Aylin,Padilla,Aylin.Padilla@businessdatastack.com,Manager,2022-06-09,F,23,5554,4,211,2022
2029,51125,Skylar,Lowery,Skylar.Lowery@businessdatastack.com,Sr. Director,2021-06-19,F,22,,7,,2021
5554,8982,Salvatore,Meadows,Salvatore.Meadows@businessdatastack.com,Sr. Manager,2021-05-25,T,30,2622,5,212,2021
2622,89493,Emely,Sawyer,Emely.Sawyer@businessdatastack.com,Director,2021-02-21,F,19,7037,6,213,2021
7037,96404,India,Proctor,India.Proctor@businessdatastack.com,Sr. Director,2022-01-27,F,29,,7,,2022
3421,36698,Wyatt,Reilly,Wyatt.Reilly@businessdatastack.com,Analyst,2020-08-11,T,34,4269,2,231,2020
7392,13013,Brett,Bryan,Brett.Bryan@businessdatastack.com,Sr. Manager,2021-01-27,F,28,4012,5,217,2021
4207,20995,Cayden,Joyce,Cayden.Joyce@businessdatastack.com,Sr. Director,2021-04-14,F,18,,7,,2021
4012,92777,Jordan,Kane,Jordan.Kane@businessdatastack.com,Director,2020-05-11,T,21,7497,6,225,2020
9505,65008,Darwin,Mckinney,Darwin.Mckinney@businessdatastack.com,Manager,2020-10-07,T,16,177,4,219,2020
177,91505,Aliza,Sellers,Aliza.Sellers@businessdatastack.com,Sr. Manager,2020-06-23,T,30,8832,5,223,2020
7206,96911,Alex,Richards,Alex.Richards@businessdatastack.com,Sr. Manager,2021-10-21,F,24,8832,5,223,2021
2321,43515,Aiyana,Mccarthy,Aiyana.Mccarthy@businessdatastack.com,Manager,2021-10-27,T,20,8286,4,230,2021
7183,75507,Maxwell,Roberson,Maxwell.Roberson@businessdatastack.com,Manager,2021-01-17,F,19,8286,4,230,2021
8832,85653,Jennifer,Floyd,Jennifer.Floyd@businessdatastack.com,Director,2021-04-09,T,18,7497,6,225,2021
2674,58430,Reese,Sloan,Reese.Sloan@businessdatastack.com,Analyst,2022-06-09,F,26,4269,2,231,2022
7497,97060,Damion,Hunter,Damion.Hunter@businessdatastack.com,Sr. Director,2021-09-23,F,23,,7,,2021
4446,30462,Audrina,Hays,Audrina.Hays@businessdatastack.com,Director,2020-02-10,F,18,7774,6,228,2020
4539,52084,Elianna,Zavala,Elianna.Zavala@businessdatastack.com,Director,2022-04-22,F,24,7774,6,228,2022
7774,62018,Damon,Choi,Damon.Choi@businessdatastack.com,Sr. Director,2022-02-19,T,21,,7,,2022
